rank,stadium,capacity,region,country,city,images,home_team
261,Estádio Universitário Pedro Pedrossian,44200,South America,Brazil,"Campo Grande, Mato Grosso do Sul",https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/0253l.jpg/250px-0253l.jpg,"EC Comercial, Operário FC"
262,Ulsan Munsu Football Stadium,44102,East Asia,South Korea,Ulsan,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Munsu_20121110_204310_5.jpg/250px-Munsu_20121110_204310_5.jpg,Ulsan HD FC
263,Arena Pantanal,44097,South America,Brazil,"Cuiabá, Mato Grosso",https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/Arena_Pantanal.jpg/250px-Arena_Pantanal.jpg,"Cuiabá, Mixto EC"
264,Arena da Amazônia,44000,South America,Brazil,"Manaus, Amazonas",https://upload.wikimedia.org/wikipedia/commons/thumb/4/43/Arena_Amaz%C3%B4nia_Manaus.jpg/250px-Arena_Amaz%C3%B4nia_Manaus.jpg,Nacional FC
265,Suwon World Cup Stadium,43959,East Asia,South Korea,Suwon,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/20121003_Suwon_vs_Seoul.jpg/250px-20121003_Suwon_vs_Seoul.jpg,Suwon Samsung Bluewings
266,Stadion Utama Riau,43923,Southeast Asia,Indonesia,"Pekanbaru, Riau",https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Riau_Main_Stadium_%28cropped%29.JPG/250px-Riau_Main_Stadium_%28cropped%29.JPG,PSPS Pekanbaru
267,Estadio Ramón Sánchez Pizjuán,43864,Europe,Spain,Seville,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Sevilla2-1Lega20182.jpg/250px-Sevilla2-1Lega20182.jpg,Sevilla FC
268,Allianz Parque,43713,South America,Brazil,"São Paulo, São Paulo",https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Imagens_da_Cidade_de_S%C3%A3o_Paulo_e_Zool%C3%B3gico_da_Capital_Paulista._%2847480340301%29.jpg/250px-Imagens_da_Cidade_de_S%C3%A3o_Paulo_e_Zool%C3%B3gico_da_Capital_Paulista._%2847480340301%29.jpg,SE Palmeiras
269,Shandong Provincial Stadium,43700,East Asia,China,"Jinan, Shandong",https://upload.wikimedia.org/wikipedia/commons/thumb/4/49/SHANGDONGSPORTS.jpg/250px-SHANGDONGSPORTS.jpg,
270,Polsat Plus Arena Gdańsk,43615,Europe,Poland,Gdańsk,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Gda%C5%84sk%2C_Stadion_PGE_Arena_-_fotopolska.eu_%28326975%29.jpg/250px-Gda%C5%84sk%2C_Stadion_PGE_Arena_-_fotopolska.eu_%28326975%29.jpg,Lechia Gdańsk
271,Estadio Pedro Bidegain,43494,South America,Argentina,Buenos Aires,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Platea_Este_Nuevo_Gasometro_1.jpg/250px-Platea_Este_Nuevo_Gasometro_1.jpg,CA San Lorenzo de Almagro
272,Stadion Miejski w Poznaniu,43269,Europe,Poland,Poznań,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Stadion_Miejski_w_Poznaniu_2013_panorama.jpg/250px-Stadion_Miejski_w_Poznaniu_2013_panorama.jpg,"Lech Poznań, Warta Poznań"
273,Vasil Levski National Stadium,43230,Europe,Bulgaria,Sofia,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Vasil_Levski_National_Stadium_2022.jpg/250px-Vasil_Levski_National_Stadium_2022.jpg,Bulgaria national football team
274,Estadio Universidad San Marcos,43000,South America,Peru,Lima,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/UNMSM_Estadio_San_Marcos_-_2019.png/250px-UNMSM_Estadio_San_Marcos_-_2019.png,Deportivo Universidad San Marcos
275,Ullevi,43000,Europe,Sweden,Gothenburg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Ullevi_stadium%2C_23_june_2018.png/250px-Ullevi_stadium%2C_23_june_2018.png,Sweden women's national football team
276,Jinzhou Binhai Sports Centre Stadium,43000,East Asia,China,Jinzhou,upload.wikimedia.org,
277,Estadio General Santander,42901,South America,Colombia,Cúcuta,https://upload.wikimedia.org/wikipedia/commons/thumb/4/46/Cucuta704.jpg/250px-Cucuta704.jpg,Cúcuta Deportivo
278,Villa Park,43205,Europe,England,"Birmingham, West Midlands",https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Villa_Stadion_panorama_2016.jpg/250px-Villa_Stadion_panorama_2016.jpg,Aston Villa
279,Perak Stadium,42500,Southeast Asia,Malaysia,Perak,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Perak_Stadium.JPG/250px-Perak_Stadium.JPG,Perak FA
280,Jeonju World Cup Stadium,42477,East Asia,South Korea,Jeonju,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/%EC%A0%84%EC%A3%BC%EC%9B%94%EB%93%9C%EC%BB%B5%EA%B2%BD%EA%B8%B0%EC%9E%A5.jpg/250px-%EC%A0%84%EC%A3%BC%EC%9B%94%EB%93%9C%EC%BB%B5%EA%B2%BD%EA%B8%B0%EC%9E%A5.jpg,Jeonbuk Hyundai Motors FC
281,Ligga Arena,42372,South America,Brazil,"Curitiba, Paraná",https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Arenadabaixada2.jpg/250px-Arenadabaixada2.jpg,Athletico Paranaense
282,Weserstadion,42358,Europe,Germany,Bremen,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a6/Weserstadion_panorama.JPG/250px-Weserstadion_panorama.JPG,SV Werder Bremen
283,Denka Big Swan Stadium,42300,East Asia,Japan,"Niigata, Niigata",https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Bigswan080628.JPG/250px-Bigswan080628.JPG,Albirex Niigata
284,Estadio Olimpico Metropolitano de Mérida,42200,South America,Venezuela,Mérida,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1f/Metropolitanodemeridacopamerica.jpg/250px-Metropolitanodemeridacopamerica.jpg,Estudiantes de Mérida
285,Daejeon World Cup Stadium,42176,East Asia,South Korea,Daejeon,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Daejeon_World_Cup_Stadium.JPG/250px-Daejeon_World_Cup_Stadium.JPG,Daejeon Citizen
286,Matmut ATLANTIQUE,42115,Europe,France,Bordeaux,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7f/500px_photo_%28165733217%29.jpeg/250px-500px_photo_%28165733217%29.jpeg,FC Girondins de Bordeaux
287,Helsingin Olympia­stadion,42062,Europe,Finland,Helsinki,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Olympiastadion_2_2020-08-12.jpg/250px-Olympiastadion_2_2020-08-12.jpg,Finland national football team
288,Estádio Serra Dourada,42000,South America,Brazil,"Goiânia, Goiás",https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Serra_Dourada_Lotado.jpg/250px-Serra_Dourada_Lotado.jpg,"Goiás Esporte Clube, Vila Nova, Atlético Goianiense"
289,Estadio Deportivo Cali,42000,South America,Colombia,Cali,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9b/SportingCali12.png/250px-SportingCali12.png,Deportivo Cali
290,Estadio Modelo Alberto Spencer,42000,South America,Ecuador,Guayaquil,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bf/Estadio_Modelo_Lleno_2007_-_panoramio.jpg/250px-Estadio_Modelo_Lleno_2007_-_panoramio.jpg,"Club Sport Patria, Club Deportivo Everest, Panamá Sporting Club, Rocafuerte Fútbol Club"
291,Estádio do Zimpeto,42000,Africa,Mozambique,Maputo,upload.wikimedia.org,Mozambique national football team
292,Chengdu Sports Centre Stadium,42000,East Asia,China,"Chengdu, Sichuan",https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Chengdu_Sports_Center.JPG/250px-Chengdu_Sports_Center.JPG,
293,Royal Bafokeng Stadium,42000,Africa,South Africa,"Phokeng, North West",https://upload.wikimedia.org/wikipedia/commons/thumb/6/67/Royal_Bafokeng_Stadium%2C_Phokeng.jpg/250px-Royal_Bafokeng_Stadium%2C_Phokeng.jpg,
294,Estadio Universitario,42000,North America,Mexico,San Nicolás de los Garza,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Estadio_Universitario_Concachampions.jpg/250px-Estadio_Universitario_Concachampions.jpg,Tigres de la UANL
295,Estadio Brigadier General Estanislao López,42000,South America,Argentina,Santa Fe,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Estadio_Brigadier_General_Estanislao_L%C3%B3pez_-_Col%C3%B3n_de_Santa_Fe.jpg/250px-Estadio_Brigadier_General_Estanislao_L%C3%B3pez_-_Col%C3%B3n_de_Santa_Fe.jpg,Club Atlético Colón
296,Estadio Marcelo Bielsa,42000,South America,Argentina,Rosario,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Estadio_Marcelo_Bielsa.jpg/250px-Estadio_Marcelo_Bielsa.jpg,Newell's Old Boys
297,Stade Geoffroy-Guichard,41965,Europe,France,Saint-Étienne,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/St_Etienne_Stade_Geoffroy_Guichard.jpg/250px-St_Etienne_Stade_Geoffroy_Guichard.jpg,AS Saint-Étienne
298,Vodafone Park,41903,Europe,Turkey,Istanbul,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Vodafone_Park_Panorama.jpg/250px-Vodafone_Park_Panorama.jpg,Beşiktaş J.K.
299,Peter Mokaba Stadium,41733,Africa,South Africa,Polokwane,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Teams_are_warming_up_%284738980575%29.jpg/250px-Teams_are_warming_up_%284738980575%29.jpg,Polokwane City FC
300,Estadio Gigante de Arroyito,41654,South America,Argentina,Rosario,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Estadio_Gigante_de_Arroyito.jpg/250px-Estadio_Gigante_de_Arroyito.jpg,Rosario Central
301,Estadio Cachamay,41600,South America,Venezuela,Ciudad Guayana,https://upload.wikimedia.org/wikipedia/en/thumb/a/a0/CTE_Chamay_Aereo_Cut.jpg/250px-CTE_Chamay_Aereo_Cut.jpg,"Atlético Club Mineros de Guayana, AC Minervén FC"
302,Estadio de Liga Deportiva Universitaria,41596,South America,Ecuador,Quito,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Cl%C3%A1sico_Liga_de_Quito-Barcelona_de_Guayaquil.JPG/250px-Cl%C3%A1sico_Liga_de_Quito-Barcelona_de_Guayaquil.JPG,LDU
303,Allianz Stadium,41507,Europe,Italy,"Turin, Piedmont",https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/Juventus_Stadium_in_Turin_-_Champions_League_2013-14_-_Juventus_v_Real_Madrid.jpg/250px-Juventus_Stadium_in_Turin_-_Champions_League_2013-14_-_Juventus_v_Real_Madrid.jpg,Juventus FC
304,Sapporo Dome,41484,East Asia,Japan,"Sapporo, Hokkaido",https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Sapporo_Dome_001.jpeg/250px-Sapporo_Dome_001.jpeg,Hokkaido Consadole Sapporo
305,Stamford Bridge,41663,Europe,England,London,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b1/Stamford_Bridge%2C_Chelsea_vs_Nottingham_Forest%2C_5_January_2020.jpg/250px-Stamford_Bridge%2C_Chelsea_vs_Nottingham_Forest%2C_5_January_2020.jpg,Chelsea
306,Goyang Stadium,41311,East Asia,South Korea,Goyang,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Goyang_sta_1.JPG/250px-Goyang_sta_1.JPG,
307,Estadio Hernando Siles,41143,South America,Bolivia,La Paz,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9d/Hernando_Siles_Stadium_-_La_Paz.jpg/250px-Hernando_Siles_Stadium_-_La_Paz.jpg,"La Paz FC, Club Bolívar, The Strongest"
308,Bingu National Stadium,41100,Africa,Malawi,Lilongwe,upload.wikimedia.org,"Flames, Big Bullets FC"
309,Mbombela Stadium,40929,Africa,South Africa,"Nelspruit, Mpumalanga",https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Mbombela_Stadium_arena.jpg/250px-Mbombela_Stadium_arena.jpg,
310,Estadio José Pachencho Romero,40800,South America,Venezuela,Maracaibo,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/JPPachenchoRomero-16.jpg/250px-JPPachenchoRomero-16.jpg,"Deportivo JBL del Zulia, Deportivo Rayo Zuliano"
311,Stade Nelson Mandela,40784,Africa,Algeria,Algiers,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Nelson_Mandela_Stadium.jpg/250px-Nelson_Mandela_Stadium.jpg,Algeria national football team
312,Kashima Football Stadium,40728,East Asia,Japan,"Kashima, Ibaraki",https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Kashima_Soccer_Stadium_5.jpg/250px-Kashima_Soccer_Stadium_5.jpg,Kashima Antlers
313,Baba Yara Stadium,40528,Africa,Ghana,Kumasi,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a3/Kumasi924.JPG/250px-Kumasi924.JPG,"Asante Kotoko, King Faisal Babes"
314,Estádio Major Antônio Couto Pereira,40502,South America,Brazil,"Curitiba, Paraná",https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Est%C3%A1dio_Couto_Pereira.jpg/250px-Est%C3%A1dio_Couto_Pereira.jpg,Coritiba Foot Ball Club
315,Stage Front Stadium,40500,Europe,Spain,Barcelona,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b6/Estadicornellaelprat_1.jpg/250px-Estadicornellaelprat_1.jpg,RCD Espanyol
316,Estadio Metropolitano de fútbol de Lara,40312,South America,Venezuela,Barquisimeto,https://upload.wikimedia.org/wikipedia/commons/thumb/1/15/Estadio_Metropolitano_de_Lara.jpg/250px-Estadio_Metropolitano_de_Lara.jpg,Unión Lara
317,Estadio Malvinas Argentinas,40268,South America,Argentina,Mendoza,upload.wikimedia.org,Godoy Cruz Antonio Tomba
318,Stadion Lukas Enembe,40263,Southeast Asia,Indonesia,Nolokla,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Lukas_Enembe_Stadium.jpg/250px-Lukas_Enembe_Stadium.jpg,Persipura Jayapura
319,Gwangju World Cup Stadium,40245,East Asia,South Korea,Gwangju,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Gwangju_World_Cup_Stadium.jpg/250px-Gwangju_World_Cup_Stadium.jpg,Gwangju FC
320,Sân vận động Quốc gia Mỹ Đình,40192,Southeast Asia,Vietnam,Hanoi,https://upload.wikimedia.org/wikipedia/commons/thumb/3/39/Kh%C3%A1n_%C4%91%C3%A0i_B_-_S%C3%A2n_v%E1%BA%ADn_%C4%91%E1%BB%99ng_Qu%E1%BB%91c_gia_M%E1%BB%B9_%C4%90%C3%ACnh.jpg/250px-Kh%C3%A1n_%C4%91%C3%A0i_B_-_S%C3%A2n_v%E1%BA%ADn_%C4%91%E1%BB%99ng_Qu%E1%BB%91c_gia_M%E1%BB%B9_%C4%90%C3%ACnh.jpg,Vietnam national football team
321,Goodison Park,40157,Europe,England,"Liverpool, North West",https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Goodison_Park_August_2022.jpg/250px-Goodison_Park_August_2022.jpg,Everton FC Women
322,Estádio Governador João Castelo,40149,South America,Brazil,"São Luís, Maranhão",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Est%C3%A1dio_Castel%C3%A3o_em_S%C3%A3o_Lu%C3%ADs%2C_Maranh%C3%A3o%2C_Brasil.jpg/250px-Est%C3%A1dio_Castel%C3%A3o_em_S%C3%A3o_Lu%C3%ADs%2C_Maranh%C3%A3o%2C_Brasil.jpg,"Sampaio Corrêa FC, Moto Club SL, Maranhão AC"
323,Miloud Hadefi Stadium,40143,Africa,Algeria,Oran,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Stade_de_Oran.jpg/250px-Stade_de_Oran.jpg,"Algeria national football team, MC Oran"
324,Estadio Campeón del Siglo,40005,South America,Uruguay,Montevideo,https://upload.wikimedia.org/wikipedia/commons/thumb/8/87/Estadio_Campe%C3%B3n_del_Siglo_setiembre_2021.jpg/250px-Estadio_Campe%C3%B3n_del_Siglo_setiembre_2021.jpg,Club Atlético Peñarol
325,Metalist Stadium,40003,Europe,Ukraine,Kharkiv,https://upload.wikimedia.org/wikipedia/commons/thumb/8/84/Metalist_Stadium_Kharkiv.jpg/250px-Metalist_Stadium_Kharkiv.jpg,"FC Metalist Kharkiv, FC Shakhtar Donetsk"
326,Anoeta Stadium,40000,Europe,Spain,San Sebastián,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Reale_Arena_Interior.png/250px-Reale_Arena_Interior.png,Real Sociedad
327,Al-Janoub Stadium,40000,West Asia,Qatar,Al-Wakrah,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Visita_ao_est%C3%A1dio_de_futebol_Al_Janoub_1.jpg/250px-Visita_ao_est%C3%A1dio_de_futebol_Al_Janoub_1.jpg,
328,Al-Thumama Stadium,40000,West Asia,Qatar,Al-Thumama,https://upload.wikimedia.org/wikipedia/en/thumb/d/d6/Al_Thumama_Stadium_%282%29.jpg/250px-Al_Thumama_Stadium_%282%29.jpg,
329,Ahmed Zabana Stadium,40000,Africa,Algeria,Oran,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6a/Stade_Ahmed_Zabana_2.jpg/250px-Stade_Ahmed_Zabana_2.jpg,MC Oran
330,Stadion Batakan,40000,Southeast Asia,Indonesia,"Balikpapan, East Kalimantan",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/2017-11-14_Batakan.jpg/250px-2017-11-14_Batakan.jpg,Persiba Balikpapan
331,Ali La Pointe Stadium,40000,Africa,Algeria,Algiers,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/Stade_ali_la_pointe_douera.jpg/250px-Stade_ali_la_pointe_douera.jpg,MC Alger
332,Stadion Gelora Joko Samudro,40000,Southeast Asia,Indonesia,"Gresik, East Java",https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Gelora_Joko_Samudro_Stadium_%282016%29.jpg/250px-Gelora_Joko_Samudro_Stadium_%282016%29.jpg,Gresik United
333,Fisht Olympic Stadium,40000,Europe,Russia,Sochi,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/2017_Confederation_Cup_-_MEXNZL_-_Fisht.jpg/250px-2017_Confederation_Cup_-_MEXNZL_-_Fisht.jpg,
334,Rentschler Field,40000,North America,United States,"East Hartford, Connecticut",https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Rentschler_Field_2017.jpg/250px-Rentschler_Field_2017.jpg,
335,Jawaharlal Nehru Stadium,40000,South Asia,India,Kochi,https://upload.wikimedia.org/wikipedia/commons/thumb/8/83/Jawaharlal_Nehru_Stadium_%28Kochi%29_in_2022.jpg/250px-Jawaharlal_Nehru_Stadium_%28Kochi%29_in_2022.jpg,"Kerala Blasters, India national football team"
336,Hang Jebat Stadium,40000,Southeast Asia,Malaysia,Malacca,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Stadium_Hang_Jebat_015342.jpg/250px-Stadium_Hang_Jebat_015342.jpg,Melaka United
337,Hong Kong Stadium,40000,East Asia,Hong Kong,So Kon Po,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Hong_Kong_Stadium-1.jpg/250px-Hong_Kong_Stadium-1.jpg,South China AA
338,Stadium Negeri Pulau Pinang,40000,Southeast Asia,Malaysia,Batu Kawan,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Batu_Kawan_Stadium%2CPenang.jpg/250px-Batu_Kawan_Stadium%2CPenang.jpg,Penang FA
339,Accra Sports Stadium,40000,Africa,Ghana,Accra,upload.wikimedia.org,"Accra Hearts of Oak SC, Great Olympics"
340,Sarawak Stadium,40000,Southeast Asia,Malaysia,Kuching,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Stadium_Sarawak.JPG/250px-Stadium_Sarawak.JPG,Sarawak FA
341,Bogyoke Aung San Stadium,40000,Southeast Asia,Myanmar,Yangon,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Aungsan_Stadium.jpg/250px-Aungsan_Stadium.jpg,Yangon United FC
342,Resonac Dome Ōita,40000,East Asia,Japan,Ōita,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/%C5%8Cita_Stadium_2023-03.jpg/250px-%C5%8Cita_Stadium_2023-03.jpg,Ōita Trinita
343,Stadium Darul Makmur,40000,Southeast Asia,Malaysia,Kuantan,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d9/Stadium_Pahang.jpg/250px-Stadium_Pahang.jpg,Pahang FA
344,Khalifa International Stadium,40000,West Asia,Qatar,Doha,https://upload.wikimedia.org/wikipedia/en/thumb/1/16/Khalifa_International_Stadium.jpg/250px-Khalifa_International_Stadium.jpg,Qatar national football team
345,Stade de l’Amitié sino-gabonaise,40000,Africa,Gabon,Libreville,upload.wikimedia.org,Gabon national football team
346,Peoples Football Stadium,40000,South Asia,Pakistan,Karachi,upload.wikimedia.org,Pakistan national football team
347,JRD Tata Sports Complex Stadium,40000,South Asia,India,Jamshedpur,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/J.R.D._Tata_Stadium.jpg/250px-J.R.D._Tata_Stadium.jpg,"Jamshedpur FC, Tata Football Academy"
348,Bao'an Stadium,40000,East Asia,China,"Shenzhen, Guangdong",https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Bao%27an_Stadium.jpg/250px-Bao%27an_Stadium.jpg,
349,Kunming Tuodong Sports Centre Stadium,40000,East Asia,China,"Kunming, Yunnan",https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Kunming_07.JPG/250px-Kunming_07.JPG,China national football team
350,Taizhou Sports Centre Stadium,40000,East Asia,China,"Taizhou, Zhejiang",upload.wikimedia.org,
351,Wuhu Olympic Stadium,40000,East Asia,China,"Wuhu, Anhui",upload.wikimedia.org,
352,Huizhou Olympic Stadium,40000,East Asia,China,"Huizhou, Guangdong",upload.wikimedia.org,
